,Gene,Name,Parent Gene,Final_name
207,gene145,,sml0004,sml0004
208,gene146,slr0254,slr0254,slr0254
210,gene147,,sll0221,sll0221
212,gene148,,sll0220,sll0220
213,gene149,sll0219,sll0219,sll0219
214,gene150,sll0218,sll0218,sll0218
215,gene151,sll0217,sll0217,sll0217
217,gene152,,slr0257,slr0257
218,gene153,sll0216,sll0216,sll0216
219,gene154,slr1411,slr1411,slr1411
221,gene155,,sll1327,sll1327
223,gene156,,sll1326,sll1326
225,gene157,,sll1325,sll1325
227,gene158,,sll1324,sll1324
229,gene159,,sll1323,sll1323
231,gene160,,ssl2615,ssl2615
233,gene161,,sll1322,sll1322
235,gene162,,sll1321,sll1321
236,gene163,slr1413,slr1413,slr1413
237,gene164,slr1414,slr1414,slr1414
238,gene165,slr1415,slr1415,slr1415
240,gene166,,slr1416,slr1416
241,gene167,slr1417,slr1417,slr1417
242,gene168,sll1319,sll1319,sll1319
243,gene169,sll1318,sll1318,sll1318
244,gene170,sll1041,sll1041,sll1041
245,gene171,sll1040,sll1040,sll1040
247,gene172,,slr1093,slr1093
248,gene173,slr1094,slr1094,slr1094
249,gene174,sll1039,sll1039,sll1039
250,gene175,slr1095,slr1095,slr1095
252,gene176,,slr1096,slr1096
253,gene177,slr1097,slr1097,slr1097
254,gene178,slr1098,slr1098,slr1098
256,gene179,,slr1099,slr1099
257,gene180,slr1100,slr1100,slr1100
258,gene181,slr1101,slr1101,slr1101
259,gene182,slr1102,slr1102,slr1102
260,gene183,slr1103,slr1103,slr1103
261,gene184,slr1104,slr1104,slr1104
263,gene185,,slr1105,slr1105
264,gene186,sll1037,sll1037,sll1037
265,gene187,sll1036,sll1036,sll1036
266,gene188,ssl2009,ssl2009,ssl2009
268,gene189,,sll1035,sll1035
270,gene190,,slr1106,slr1106
271,gene191,slr1107,slr1107,slr1107
272,gene192,sll1033,sll1033,sll1033
274,gene193,,sll1032,sll1032
276,gene194,,sll1031,sll1031
278,gene195,,sll1030,sll1030
281,gene196,,sll1028,sll1028
283,gene197,,sll1027,sll1027
285,gene198,,slr1109,slr1109
286,gene199,slr1110,slr1110,slr1110
287,gene200,slr1772,slr1772,slr1772
288,gene201,sll1686,sll1686,sll1686
289,gene202,ssr2972,ssr2972,ssr2972
290,gene203,slr1773,slr1773,slr1773
291,gene204,slr1774,slr1774,slr1774
292,gene205,slr1776,slr1776,slr1776
294,gene206,,sll1685,sll1685
296,gene207,,slr1777,slr1777
297,gene208,slr1778,slr1778,slr1778
299,gene209,,sll1683,sll1683
300,gene210,sll1682,sll1682,sll1682
302,gene211,,slr1779,slr1779
303,gene212,slr1780,slr1780,slr1780
304,gene213,sll1681,sll1681,sll1681
305,gene214,sll1680,sll1680,sll1680
307,gene215,,sll1679,sll1679
308,gene216,slr1783,slr1783,slr1783
310,gene217,,slr1784,slr1784
311,gene218,sll1678,sll1678,sll1678
312,gene219,sll1677,sll1677,sll1677
314,gene220,,sll1676,sll1676
315,gene221,sll1675,sll1675,sll1675
316,gene222,slr1787,slr1787,slr1787
317,gene223,slr1788,slr1788,slr1788
318,gene224,slr1789,slr1789,slr1789
319,gene225,sll1673,sll1673,sll1673
320,gene226,sll1672,sll1672,sll1672
321,gene227,sll1671,sll1671,sll1671
322,gene228,slr1790,slr1790,slr1790
324,gene229,,slr1791,slr1791
326,gene230,,sll1670,sll1670
328,gene231,,sll1669,sll1669
330,gene232,,slr1793,slr1793
331,gene233,ssr2998,ssr2998,ssr2998
332,gene234,slr1794,slr1794,slr1794
334,gene235,,slr1795,slr1795
335,gene236,ssr3000,ssr3000,ssr3000
337,gene237,,sll1667,sll1667
339,gene238,,sll1666,sll1666
340,gene239,slr1796,slr1796,slr1796
341,gene240,sll1665,sll1665,sll1665
342,gene241,sll1664,sll1664,sll1664
343,gene242,sll1663,sll1663,sll1663
345,gene243,,sll1662,sll1662
347,gene244,,slr1798,slr1798
348,gene245,sll1660,sll1660,sll1660
349,gene246,sll1659,sll1659,sll1659
350,gene247,sll1658,sll1658,sll1658
351,gene248,slr1799,slr1799,slr1799
352,gene249,slr1800,slr1800,slr1800
353,gene250,sll1656,sll1656,sll1656
355,gene251,,sll1655,sll1655
356,gene252,sll1654,sll1654,sll1654
358,gene253,,sll1653,sll1653
359,gene254,sll1652,sll1652,sll1652
361,gene255,,slr1289,slr1289
362,gene256,slr1290,slr1290,slr1290
363,gene257,sll1201,sll1201,sll1201
365,gene258,,slr1291,slr1291
366,gene259,sll1200,sll1200,sll1200
367,gene260,slr1293,slr1293,slr1293
369,gene261,,ssr2142,ssr2142
371,gene262,,slr1295,slr1295
373,gene263,,sll1198,sll1198
374,gene264,ssl2384,ssl2384,ssl2384
376,gene265,,sll1196,sll1196
377,gene266,slr1298,slr1298,slr1298
379,gene267,,sll1194,sll1194
380,gene268,sll1193,sll1193,sll1193
381,gene269,slr1299,slr1299,slr1299
383,gene270,,slr1300,slr1300
384,gene271,sll1192,sll1192,sll1192
385,gene272,sll1191,sll1191,sll1191
386,gene273,ssr2153,ssr2153,ssr2153
387,gene274,slr1301,slr1301,slr1301
388,gene275,slr1302,slr1302,slr1302
389,gene276,slr1303,slr1303,slr1303
391,gene277,,sll1189,sll1189
392,gene278,slr1305,slr1305,slr1305
393,gene279,slr1306,slr1306,slr1306
394,gene280,sll1188,sll1188,sll1188
396,gene281,,sll1187,sll1187
397,gene282,sll1186,sll1186,sll1186
399,gene283,,sll1185,sll1185
401,gene284,,sll1184,sll1184
402,gene285,slr1307,slr1307,slr1307
404,gene286,,ssr1604,ssr1604
405,gene287,slr0962,slr0962,slr0962
406,gene288,sll0943,sll0943,sll0943
408,gene289,,slr0963,slr0963
409,gene290,slr0964,slr0964,slr0964
411,gene291,,slr0965,slr0965
413,gene292,,slr0966,slr0966
414,gene293,slr0967,slr0967,slr0967
415,gene294,sll0939,sll0939,sll0939
416,gene295,sll0938,sll0938,sll0938
417,gene296,ssl1792,ssl1792,ssl1792
418,gene297,sll0936,sll0936,sll0936
420,gene298,,slr0969,slr0969
421,gene299,slr0971,slr0971,slr0971
423,gene300,,sll0934,sll0934
424,gene301,sll0933,sll0933,sll0933
426,gene302,,ssl1784,ssl1784
427,gene303,sll0932,sll0932,sll0932
428,gene304,sll0931,sll0931,sll0931
429,gene305,sll0930,sll0930,sll0930
431,gene306,,sll0928,sll0928
433,gene307,,sll0927,sll0927
434,gene308,sll0926,sll0926,sll0926
435,gene309,sll0925,sll0925,sll0925
437,gene310,,slr0974,slr0974
438,gene311,slr0975,slr0975,slr0975
439,gene312,sll0924,sll0924,sll0924
441,gene313,,sll0923,sll0923
442,gene314,sll0922,sll0922,sll0922
443,gene315,slr0976,slr0976,slr0976
444,gene316,slr0977,slr0977,slr0977
445,gene317,slr0978,slr0978,slr0978
446,gene318,slr0980,slr0980,slr0980
447,gene319,slr0981,slr0981,slr0981
449,gene320,,slr0982,slr0982
451,gene321,,slr0983,slr0983
453,gene322,,slr0984,slr0984
455,gene323,,slr0985,slr0985
456,gene324,slr1610,slr1610,slr1610
457,gene325,slr1611,slr1611,slr1611
458,gene326,slr1612,slr1612,slr1612
459,gene327,slr1613,slr1613,slr1613
460,gene328,slr1614,slr1614,slr1614
462,gene329,,slr1615,slr1615
463,gene330,slr1616,slr1616,slr1616
464,gene331,slr1617,slr1617,slr1617
465,gene332,slr1618,slr1618,slr1618
466,gene333,slr1619,slr1619,slr1619
467,gene334,slr1062,slr1062,slr1062
468,gene335,slr1063,slr1063,slr1063
470,gene336,,slr1064,slr1064
471,gene337,slr1065,slr1065,slr1065
472,gene338,slr1066,slr1066,slr1066
474,gene339,,slr1067,slr1067
475,gene340,slr1068,slr1068,slr1068
476,gene341,slr1069,slr1069,slr1069
477,gene342,slr1070,slr1070,slr1070
478,gene343,slr1071,slr1071,slr1071
480,gene344,,slr1072,slr1072
481,gene345,slr1073,slr1073,slr1073
482,gene346,slr1074,slr1074,slr1074
483,gene347,slr1075,slr1075,slr1075
484,gene348,slr1076,slr1076,slr1076
485,gene349,slr1077,slr1077,slr1077
486,gene350,ssr1765,ssr1765,ssr1765
487,gene351,ssr1766,ssr1766,ssr1766
489,gene352,,slr1078,slr1078
490,gene353,slr1079,slr1079,slr1079
491,gene354,ssr1768,ssr1768,ssr1768
492,gene355,slr1081,slr1081,slr1081
493,gene356,slr1082,slr1082,slr1082
494,gene357,slr1083,slr1083,slr1083
495,gene358,slr1084,slr1084,slr1084
496,gene359,slr1085,slr1085,slr1085
497,gene360,slr1087,slr1087,slr1087
498,gene361,sll1025,sll1025,sll1025
499,gene362,ssl1972,ssl1972,ssl1972
500,gene363,sll1024,sll1024,sll1024
502,gene364,,sll1023,sll1023
503,gene365,sll1022,sll1022,sll1022
504,gene366,sll1021,sll1021,sll1021
505,gene367,sll1020,sll1020,sll1020
506,gene368,slr1090,slr1090,slr1090
508,gene369,,ssr1789,ssr1789
510,gene370,,sll1019,sll1019
512,gene371,,sll1018,sll1018
514,gene372,,sll1017,sll1017
515,gene373,slr1400,slr1400,slr1400
516,gene374,slr0670,slr0670,slr0670
518,gene375,,sll0656,sll0656
519,gene376,sll0654,sll0654,sll0654
521,gene377,,slr0676,slr0676
523,gene378,,slr0677,slr0677
524,gene379,slr0678,slr0678,slr0678
526,gene380,,slr0679,slr0679
527,gene381,slr0680,slr0680,slr0680
528,gene382,slr0681,slr0681,slr0681
530,gene383,,slr0682,slr0682
531,gene384,sll0651,sll0651,sll0651
532,gene385,sll0650,sll0650,sll0650
533,gene386,sll0649,sll0649,sll0649
535,gene387,,sll0648,sll0648
536,gene388,sll0647,sll0647,sll0647
538,gene389,,sll0646,sll0646
539,gene390,sll0645,sll0645,sll0645
540,gene391,sll0644,sll0644,sll0644
541,gene392,slr0686,slr0686,slr0686
543,gene393,,sll0643,sll0643
545,gene394,,slr0687,slr0687
546,gene395,sll0641,sll0641,sll0641
548,gene396,,sll0640,sll0640
549,gene397,slr0688,slr0688,slr0688
550,gene398,ssr1155,ssr1155,ssr1155
551,gene399,slr0689,slr0689,slr0689
